nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial,tipo
cuerda4,1.0566589331049825,513.5725212445133,63070067.76043446,135719045579.5982,2151.877275526544,"[0.00000000e+00 9.99999601e-02 1.99999920e-01 ... 4.29327829e+04
 4.29328829e+04 4.29329829e+04]",[8.51604504 8.51603847 8.51601875 ... 3.65713549 3.65713549 3.65713549],1,1.0,medio
cuerda3,1.0163497434964557,984.0533645203102,345892778.9271947,1619028285243.136,4680.722998221127,"[0.00000000e+00 9.99999760e-02 1.99999952e-01 ... 8.55261795e+04
 8.55262795e+04 8.55263795e+04]","[176.62380852 176.62378534 176.6237158  ...   4.69390876   4.69390876
   4.69390876]",1,1.0,mejor
cuerda1,1.0229648799888744,117.07173751186826,211361.742137528,83940248.00026083,397.1402163483444,"[0.00000000e+00 9.99998090e-02 1.99999618e-01 ... 1.01089807e+04
 1.01090807e+04 1.01091807e+04]",[0.26119785 0.261198   0.26119846 ... 0.03007821 0.03007821 0.03007821],1,1.0,peor
cuerda4,1.1133178662099648,527.1618258402688,58483452.95499498,122031398584.2052,2086.597018786024,"[0.00000000e+00 9.99999876e-02 1.99999975e-01 ... 4.18260948e+04
 4.18261948e+04 4.18262948e+04]",[5.13481934 5.13482415 5.13483857 ... 7.16913913 7.16913913 7.16913913],1,2.0,medio
cuerda3,1.0326994869929107,991.936886182634,339822890.4331814,1577646995228.959,4642.556577686364,"[0.00000000e+00 9.99999996e-02 1.99999999e-01 ... 8.48463997e+04
 8.48464997e+04 8.48465997e+04]","[7.88167540e+02 7.88167600e+02 7.88167781e+02 ... 1.22134209e-01
 1.22134209e-01 1.22134209e-01]",1,2.0,mejor
cuerda1,1.0459297599777488,118.37853528637496,199956.79173730893,84225834.55117156,421.2201737154412,"[0.00000000e+00 9.99998398e-02 1.99999680e-01 ... 9.99738398e+03
 9.99748398e+03 9.99758398e+03]",[0.02142126 0.02142131 0.02142147 ... 0.0119239  0.0119239  0.0119239 ],1,2.0,peor
cuerda4,1.169976799314947,540.4095175596425,54371457.33631279,110146256427.387,2025.81026559728,"[0.00000000e+00 9.99998966e-02 1.99999793e-01 ... 4.08007578e+04
 4.08008578e+04 4.08009578e+04]",[1.25867276 1.25867535 1.25868311 ... 2.71961719 2.71961719 2.71961719],1,3.0,medio
cuerda3,1.0490492304893662,999.758244835049,333943834.49078023,1537554910989.4265,4604.232065952026,"[0.00000000e+00 9.99999681e-02 1.99999936e-01 ... 8.41826731e+04
 8.41827731e+04 8.41828731e+04]","[71.27235747 71.27238377 71.27246267 ...  2.51307792  2.51307792
  2.51307792]",1,3.0,mejor
cuerda1,1.068894639966623,119.67106379174233,189396.69085067185,79729172.42944345,420.9639147935548,"[0.00000000e+00 9.99995279e-02 1.99999056e-01 ... 9.88935331e+03
 9.88945331e+03 9.88955331e+03]",[0.37164103 0.37165582 0.37170008 ... 0.01257932 0.01257932 0.01257932],1,3.0,peor
cuerda4,1.2266357324199293,553.3401329334836,50667060.09175079,99777514094.69124,1969.2777499623717,"[0.00000000e+00 9.99998972e-02 1.99999794e-01 ... 3.98472590e+04
 3.98473590e+04 3.98474590e+04]","[27.43817946 27.43816687 27.43812911 ...  0.02830044  0.02830044
  0.02830044]",1,4.0,medio
cuerda3,1.0653989739858216,1007.5188881909936,328245655.6838265,1498284903840.0876,4564.523179198657,"[0.00000000e+00 9.99999825e-02 1.99999965e-01 ... 8.35341854e+04
 8.35342854e+04 8.35343854e+04]","[165.63616681 165.63614643 165.63608529 ...   4.82357944   4.82357944
   4.82357944]",1,4.0,mejor
cuerda1,1.0918595199554977,120.94978049400088,179637.02610996953,70119923.18734202,390.342262426546,"[0.00000000e+00 9.99999746e-02 1.99999949e-01 ... 9.78479751e+03
 9.78489751e+03 9.78499751e+03]",[0.53341364 0.53337645 0.53326624 ... 0.01068518 0.01068518 0.01068518],1,4.0,peor
cuerda4,1.2832946655249118,565.9754047311995,47315928.43882861,90716767211.62897,1917.2564124766184,"[0.00000000e+00 9.99999293e-02 1.99999859e-01 ... 3.89576725e+04
 3.89577725e+04 3.89578725e+04]","[19.26731166 19.26732042 19.26734669 ...  0.14498376  0.14498376
  0.14498376]",1,5.0,medio
cuerda5,1.06642083295435,1001.7331084671488,323367038.33010817,1465774313587.8137,4532.850104813351,"[0.00000000e+00 9.99999955e-02 1.99999991e-01 ... 8.29748963e+04
 8.29749963e+04 8.29750963e+04]","[273.45873103 273.45867536 273.45850835 ...  20.77878924  20.77878924
  20.77878924]",1,5.0,mejor
cuerda1,1.114824399944372,122.21511892579711,170636.28186940262,71682310.99698097,420.0883318111877,"[0.00000000e+00 9.99998894e-02 1.99999779e-01 ... 9.68348929e+03
 9.68358929e+03 9.68368929e+03]",[0.00928245 0.00927742 0.00926275 ... 0.02486812 0.02486812 0.02486812],1,5.0,peor
cuerda4,1.339953598629894,578.3346909934115,44272903.935707256,82727212379.09833,1868.5743428810115,"[0.00000000e+00 9.99999297e-02 1.99999859e-01 ... 3.81251732e+04
 3.81252732e+04 3.81253732e+04]","[101.0462149  101.04622776 101.04626635 ...   2.15185277   2.15185277
   2.15185277]",1,6.0,medio
cuerda5,1.07970499954522,1007.9529815363989,318930564.273554,1436301372406.9102,4503.492400229668,"[0.00000000e+00 9.99999678e-02 1.99999936e-01 ... 8.24628735e+04
 8.24629735e+04 8.24630735e+04]",[1.86931075 1.86931398 1.86932369 ... 0.07595426 0.07595426 0.07595426],1,6.0,mejor
cuerda1,1.1377892799332463,123.46749040353284,162348.41880635606,64971145.55109987,400.1957396862322,"[0.00000000e+00 9.99996236e-02 1.99999247e-01 ... 9.58526393e+03
 9.58536392e+03 9.58546392e+03]",[0.07174227 0.07174046 0.07173537 ... 0.00131538 0.00131538 0.00131538],1,6.0,peor
cuerda4,1.3966125317348763,590.4353231745579,41499997.7723324,75656687080.28113,1823.0527985888384,"[0.00000000e+00 9.99999080e-02 1.99999816e-01 ... 3.73437656e+04
 3.73438656e+04 3.73439656e+04]",[0.69717429 0.6971733  0.69717035 ... 0.09594125 0.09594125 0.09594124],1,7.0,medio
cuerda5,1.09298916613609,1014.1347077074998,314602365.56122404,1407382241403.9346,4473.527205980424,"[0.00000000e+00 9.99999561e-02 1.99999912e-01 ... 8.19602640e+04
 8.19603640e+04 8.19604640e+04]","[30.18582823 30.18581874 30.18579026 ...  1.01810127  1.01810127
  1.01810127]",1,7.0,mejor
cuerda1,1.1607541599221205,124.70728558927988,154728.55839265024,60528325.44100219,391.1903921925078,"[0.00000000e+00 9.99996647e-02 1.99999329e-01 ... 9.48996818e+03
 9.49006818e+03 9.49016818e+03]",[0.1216274  0.12168575 0.12184894 ... 0.00138486 0.00138486 0.00138486],1,7.0,peor
cuerda4,1.4532714648398586,602.2928912896484,38965092.11338155,69386934885.30469,1780.7460760878207,"[0.00000000e+00 9.99998904e-02 1.99999781e-01 ... 3.66085599e+04
 3.66086599e+04 3.66087599e+04]","[55.19408749 55.1940909  55.19410114 ... 12.10513107 12.10513107
 12.10513107]",1,8.0,medio
cuerda5,1.10627333272696,1020.2789803606836,310378338.7699643,1378857227579.611,4442.504696184826,"[0.00000000e+00 9.99999826e-02 1.99999965e-01 ... 8.14666858e+04
 8.14667858e+04 8.14668858e+04]","[27.07777141 27.07778104 27.07780993 ... 10.4067794  10.4067794
 10.4067794 ]",1,8.0,mejor
cuerda1,1.183719039910995,125.93487591428338,147732.28028205573,59296910.64830025,401.38086635560273,"[0.00000000e+00 9.99995664e-02 1.99999133e-01 ... 9.39745925e+03
 9.39755925e+03 9.39765925e+03]",[0.06099378 0.06102661 0.06111584 ... 0.01257439 0.01257439 0.01257439],1,8.0,peor
cuerda4,1.5099303979448409,613.9214794612125,36640775.711048186,63777632102.22282,1740.6190470741628,"[0.00000000e+00 9.99999566e-02 1.99999913e-01 ... 3.59151844e+04
 3.59152844e+04 3.59153844e+04]","[35.50092572 35.50091571 35.50088569 ... 10.31255425 10.31255425
 10.31255425]",1,9.0,medio
cuerda5,1.11955749931783,1026.38647212183,306255652.1986595,1352599274660.0193,4416.569179864886,"[0.00000000e+00 9.99999614e-02 1.99999923e-01 ... 8.09818688e+04
 8.09819688e+04 8.09820688e+04]",[8.9816967  8.98170749 8.98173987 ... 8.36243087 8.36243087 8.36243087],1,9.0,mejor
cuerda1,1.2066839198998691,127.15061487875586,141314.77232409755,56693886.250336014,401.18867488468754,"[0.00000000e+00 9.99995049e-02 1.99999010e-01 ... 9.30765392e+03
 9.30775392e+03 9.30785391e+03]",[0.12457264 0.12457443 0.1245792  ... 0.00404676 0.00404676 0.00404676],1,9.0,peor
cuerda4,1.5665893310498231,625.3338620206359,34504236.34236653,58767646121.91718,1703.200892168666,"[0.00000000e+00 9.99999330e-02 1.99999866e-01 ... 3.52596764e+04
 3.52597764e+04 3.52598764e+04]","[9.71903506e+01 9.71903414e+01 9.71903138e+01 ... 3.37917068e-02
 3.37917067e-02 3.37917066e-02]",1,10.0,medio
cuerda5,1.1328416659087,1032.457835721903,302230203.90043324,1326369543276.9658,4388.606850538093,"[0.00000000e+00 9.99999426e-02 1.99999885e-01 ... 8.05056538e+04
 8.05057538e+04 8.05058538e+04]","[57.96304776 57.96306212 57.96310519 ...  0.47107501  0.47107501
  0.47107501]",1,10.0,mejor
cuerda1,1.2296487998887438,128.35483924085383,135431.23048806412,57591210.68302836,425.2432062788059,"[0.00000000e+00 9.99997580e-02 1.99999516e-01 ... 9.22027768e+03
 9.22037768e+03 9.22047768e+03]",[0.13909853 0.13915355 0.13929294 ... 0.00227061 0.00227061 0.00227061],1,10.0,peor
cuerda4,1.6232482641548056,636.5416679491166,32535000.774774663,54266692038.25011,1667.9480788678711,"[0.00000000e+00 9.99999793e-02 1.99999959e-01 ... 3.46388928e+04
 3.46389928e+04 3.46390928e+04]","[23.5732208  23.57321692 23.57320528 ...  0.97888929  0.97888929
  0.97888929]",1,11.0,medio
